AF,Chain
AF-P14174-F1-model_v1.pdb,6FVH:A
AF-P14174-F1-model_v1.pdb,6FVH:B
AF-P14174-F1-model_v1.pdb,6FVH:C
AF-P14174-F1-model_v1.pdb,6FVE:A
AF-P14174-F1-model_v1.pdb,6FVE:B
AF-P14174-F1-model_v1.pdb,6FVE:C
AF-P14174-F1-model_v1.pdb,5B4O:A
AF-P14174-F1-model_v1.pdb,5B4O:B
AF-P14174-F1-model_v1.pdb,5B4O:C
AF-P14174-F1-model_v1.pdb,1GD0:B
AF-P14174-F1-model_v1.pdb,6B1K:A
AF-P14174-F1-model_v1.pdb,6B1K:B
AF-P14174-F1-model_v1.pdb,6B1K:C
AF-P14174-F1-model_v1.pdb,3DJH:A
AF-P14174-F1-model_v1.pdb,3DJH:B
AF-P14174-F1-model_v1.pdb,3DJH:C
AF-P15090-F1-model_v1.pdb,3Q6L:A
AF-P15090-F1-model_v1.pdb,5EDC:A
AF-P15374-F1-model_v1.pdb,1XD3:A
AF-P16152-F1-model_v1.pdb,1WMA:A
AF-P22392-F1-model_v1.pdb,3BBB:A
AF-P22392-F1-model_v1.pdb,3BBB:B
AF-P22392-F1-model_v1.pdb,3BBB:D
AF-P22392-F1-model_v1.pdb,3BBB:F
AF-P29218-F1-model_v1.pdb,6GIU:A
AF-P29218-F1-model_v1.pdb,6GIU:B
AF-P29373-F1-model_v1.pdb,2FS6:B
AF-P29373-F1-model_v1.pdb,2FR3:A
AF-P29401-F1-model_v1.pdb,4KXY:A
AF-P29401-F1-model_v1.pdb,4KXY:B
AF-P29401-F1-model_v1.pdb,4KXX:A
AF-P29401-F1-model_v1.pdb,4KXW:A
AF-P29401-F1-model_v1.pdb,4KXV:A
AF-P29401-F1-model_v1.pdb,4KXU:A
AF-P30043-F1-model_v1.pdb,1HDO:A
AF-P30043-F1-model_v1.pdb,1HE2:A
AF-P30043-F1-model_v1.pdb,1HE3:A
AF-P30043-F1-model_v1.pdb,1HE5:A
AF-P30043-F1-model_v1.pdb,1HE4:A
AF-P30043-F1-model_v1.pdb,5OOH:A
AF-P30043-F1-model_v1.pdb,5OOG:A
AF-P30046-F1-model_v1.pdb,7MSE:A
AF-P30046-F1-model_v1.pdb,7MSE:B
AF-P30046-F1-model_v1.pdb,7MSE:C
AF-P30046-F1-model_v1.pdb,6C5F:A
AF-P30046-F1-model_v1.pdb,6C5F:C
AF-P30711-F1-model_v1.pdb,2C3N:A
AF-P30711-F1-model_v1.pdb,2C3N:B
AF-P30711-F1-model_v1.pdb,2C3N:C
AF-P30711-F1-model_v1.pdb,2C3N:D
AF-P47929-F1-model_v1.pdb,3ZXF:A
AF-P50120-F1-model_v1.pdb,7JWD:A
AF-P50120-F1-model_v1.pdb,6BTH:A
AF-P50120-F1-model_v1.pdb,4QYN:A
AF-P50120-F1-model_v1.pdb,4QYN:B
AF-P50120-F1-model_v1.pdb,4QZU:A
AF-P50120-F1-model_v1.pdb,4QZU:B
AF-P50120-F1-model_v1.pdb,4QZU:C
AF-P50120-F1-model_v1.pdb,4QZU:D
AF-P51857-F1-model_v1.pdb,3BUV:A
AF-P51857-F1-model_v1.pdb,3BUV:B
AF-P54922-F1-model_v1.pdb,6G28:A
AF-P62937-F1-model_v1.pdb,6I42:A
AF-P62937-F1-model_v1.pdb,4YUH:A
AF-P62937-F1-model_v1.pdb,5TA4:A
AF-P62937-F1-model_v1.pdb,3K0M:A
AF-P62937-F1-model_v1.pdb,5F66:A
AF-P62942-F1-model_v1.pdb,2PPN:A
AF-P62942-F1-model_v1.pdb,6YF1:A
AF-P68106-F1-model_v1.pdb,5HKG:A
AF-P68871-F1-model_v1.pdb,7JY3:B
AF-P68871-F1-model_v1.pdb,7JY3:D
AF-P68871-F1-model_v1.pdb,1IRD:B
AF-P68871-F1-model_v1.pdb,1J40:B
AF-P68871-F1-model_v1.pdb,1J40:D
AF-P68871-F1-model_v1.pdb,1J40:F
AF-P68871-F1-model_v1.pdb,1J40:H
AF-P68871-F1-model_v1.pdb,1J41:B
AF-P68871-F1-model_v1.pdb,1J41:D
AF-P68871-F1-model_v1.pdb,1J41:F
AF-P68871-F1-model_v1.pdb,1J41:H
AF-P68871-F1-model_v1.pdb,1BZ0:B
AF-P68871-F1-model_v1.pdb,1BZ0:D
AF-P68871-F1-model_v1.pdb,2DN2:B
AF-P68871-F1-model_v1.pdb,2DN2:D
AF-P68871-F1-model_v1.pdb,2DN3:B
AF-P68871-F1-model_v1.pdb,6LCX:B
AF-P68871-F1-model_v1.pdb,6LCX:D
AF-P68871-F1-model_v1.pdb,6LCX:F
AF-P68871-F1-model_v1.pdb,6LCX:H
AF-P68871-F1-model_v1.pdb,6LCW:B
AF-P68871-F1-model_v1.pdb,6LCW:D
AF-P68871-F1-model_v1.pdb,6LCW:F
AF-P68871-F1-model_v1.pdb,6LCW:H
AF-P68871-F1-model_v1.pdb,6KA9:B
AF-P68871-F1-model_v1.pdb,6KA9:D
AF-P68871-F1-model_v1.pdb,6KA9:F
AF-P68871-F1-model_v1.pdb,6KA9:H
AF-P68871-F1-model_v1.pdb,6KAI:B
AF-P68871-F1-model_v1.pdb,6KAI:D
AF-P68871-F1-model_v1.pdb,6KAI:F
AF-P68871-F1-model_v1.pdb,6KAI:H
AF-P68871-F1-model_v1.pdb,6KAH:B
AF-P68871-F1-model_v1.pdb,6KAH:D
AF-P68871-F1-model_v1.pdb,6KAH:F
AF-P68871-F1-model_v1.pdb,6KAH:H
AF-P68871-F1-model_v1.pdb,6KAE:B
AF-P68871-F1-model_v1.pdb,6KAE:D
AF-P68871-F1-model_v1.pdb,6KAE:F
AF-P68871-F1-model_v1.pdb,6KAE:H
AF-P68871-F1-model_v1.pdb,1UIW:B
AF-P68871-F1-model_v1.pdb,1UIW:D
AF-P68871-F1-model_v1.pdb,1UIW:H
AF-P68871-F1-model_v1.pdb,1THB:B
AF-P68871-F1-model_v1.pdb,1THB:D
AF-P68871-F1-model_v1.pdb,1BAB:B
AF-P68871-F1-model_v1.pdb,1BAB:D
AF-P69905-F1-model_v1.pdb,7JY3:A
AF-P69905-F1-model_v1.pdb,7JY3:C
AF-P69905-F1-model_v1.pdb,1IRD:A
AF-P69905-F1-model_v1.pdb,1J40:A
AF-P69905-F1-model_v1.pdb,1J40:C
AF-P69905-F1-model_v1.pdb,1J40:E
AF-P69905-F1-model_v1.pdb,1J40:G
AF-P69905-F1-model_v1.pdb,1J41:A
AF-P69905-F1-model_v1.pdb,1J41:C
AF-P69905-F1-model_v1.pdb,1J41:E
AF-P69905-F1-model_v1.pdb,1J41:G
AF-P69905-F1-model_v1.pdb,1BZ0:A
AF-P69905-F1-model_v1.pdb,1BZ0:C
AF-P69905-F1-model_v1.pdb,2DN2:A
AF-P69905-F1-model_v1.pdb,2DN2:C
AF-P69905-F1-model_v1.pdb,2DN3:A
AF-P69905-F1-model_v1.pdb,2D5Z:A
AF-P69905-F1-model_v1.pdb,2D5Z:C
AF-P69905-F1-model_v1.pdb,6LCX:A
AF-P69905-F1-model_v1.pdb,6LCX:C
AF-P69905-F1-model_v1.pdb,6LCX:E
AF-P69905-F1-model_v1.pdb,6LCX:G
AF-P69905-F1-model_v1.pdb,6LCW:A
AF-P69905-F1-model_v1.pdb,6LCW:C
AF-P69905-F1-model_v1.pdb,6LCW:E
AF-P69905-F1-model_v1.pdb,6LCW:G
AF-P69905-F1-model_v1.pdb,6L5V:A
AF-P69905-F1-model_v1.pdb,6L5W:A
AF-P69905-F1-model_v1.pdb,6KAQ:A
AF-P69905-F1-model_v1.pdb,6KAO:A
AF-P69905-F1-model_v1.pdb,6KAP:A
AF-P69905-F1-model_v1.pdb,6KA9:A
AF-P69905-F1-model_v1.pdb,6KA9:C
AF-P69905-F1-model_v1.pdb,6KA9:E
AF-P69905-F1-model_v1.pdb,6KA9:G
AF-P69905-F1-model_v1.pdb,6KAI:A
AF-P69905-F1-model_v1.pdb,6KAI:C
AF-P69905-F1-model_v1.pdb,6KAI:E
AF-P69905-F1-model_v1.pdb,6KAI:G
AF-P69905-F1-model_v1.pdb,6KAH:A
AF-P69905-F1-model_v1.pdb,6KAH:C
AF-P69905-F1-model_v1.pdb,6KAH:E
AF-P69905-F1-model_v1.pdb,6KAH:G
AF-P69905-F1-model_v1.pdb,6KAE:A
AF-P69905-F1-model_v1.pdb,6KAE:C
AF-P69905-F1-model_v1.pdb,6KAE:E
AF-P69905-F1-model_v1.pdb,6KAE:G
AF-P69905-F1-model_v1.pdb,1UIW:A
AF-P69905-F1-model_v1.pdb,1UIW:C
AF-P69905-F1-model_v1.pdb,1UIW:E
AF-P69905-F1-model_v1.pdb,1UIW:G
AF-P69905-F1-model_v1.pdb,1THB:A
AF-P69905-F1-model_v1.pdb,1THB:C
AF-Q01469-F1-model_v1.pdb,5HZ5:A
AF-Q14376-F1-model_v1.pdb,1EK6:A
AF-Q14376-F1-model_v1.pdb,1EK6:B
AF-Q15493-F1-model_v1.pdb,3G4E:A
AF-Q15493-F1-model_v1.pdb,3G4E:B
AF-Q15493-F1-model_v1.pdb,4GNB:A
AF-Q15493-F1-model_v1.pdb,4GNB:B
AF-Q16773-F1-model_v1.pdb,3FVX:A
AF-Q16773-F1-model_v1.pdb,3FVX:B
AF-Q16773-F1-model_v1.pdb,3FVS:A
AF-Q16773-F1-model_v1.pdb,3FVS:B
AF-Q8N1Q1-F1-model_v1.pdb,5OGJ:B
AF-Q8NFU3-F1-model_v1.pdb,6BEV:B
AF-Q96R05-F1-model_v1.pdb,6E6K:A
AF-Q96R05-F1-model_v1.pdb,6AT8:A
AF-Q99497-F1-model_v1.pdb,4ZGG:A
AF-Q9BT73-F1-model_v1.pdb,6JPT:A
AF-Q9H0R8-F1-model_v1.pdb,6YOO:A
AF-Q9H0R8-F1-model_v1.pdb,5LXI:B
AF-Q9H0R8-F1-model_v1.pdb,6HOI:A
AF-Q9H0R8-F1-model_v1.pdb,6HOL:A
AF-Q9H0R8-F1-model_v1.pdb,6HOL:B
AF-Q9NZD2-F1-model_v1.pdb,3RWV:B
AF-Q9Y2Q5-F1-model_v1.pdb,6B9X:B
